Gene name,Log2(Fold Expression)  (ATXN2[Q127] vs. WT),Fold Expression (ATXN2[Q127] vs. WT)
Vip,2.492786884,5.628641974
Fbxo5,0.406616062,1.325572944
Cnksr3,-0.281014532,0.823012055
Lats1,-0.17108947,0.888171713
Ust,-0.18937397,0.87698619
Sash1,-0.301085621,0.81164141
Stxbp5,-0.181724355,0.881648592
Grm1,-0.451471567,0.731296536
NA,-0.619731724,0.650791934
Fbxo30,-0.288198739,0.818923879
Phactr2,-0.182521597,0.881161522
Hivep2,-0.242554978,0.845247074
Ccdc28a,0.369506747,1.291911054
Nhsl1,-0.236267105,0.848939057
D10Bwg1379e,-0.325647682,0.79794008
Map3k5,-0.192804575,0.87490327
Pde7b,-0.435124576,0.739629885
Ahi1,0.143781319,1.104797009
Sgk1,0.234280914,1.176320275
Eya4,0.64699316,1.565901169
Epb4.1l2,0.19514671,1.144840575
Samd3,0.763937235,1.698118614
Lama2,-0.33696571,0.791704683
Ptprk,-0.148275301,0.902328525
Ncoa7,-0.209191367,0.865021942
Hddc2,0.332647413,1.259322171
Tpd52l1,0.39255017,1.312711761
Rnf217,-0.181860507,0.881565392
Slc16a10,0.391740412,1.311975166
Gtf3c6,0.268106043,1.204225893
Cdk19,-0.17175141,0.887764294
Wasf1,-0.607569814,0.656301296
Mical1,0.182849929,1.135124019
Foxo3,-0.368136227,0.774782768
Sec63,-0.270647287,0.828947542
Sobp,-0.305012435,0.80943524
Pdss2,-0.155752659,0.897663936
1700021F05Rik,0.22987774,1.172735563
Cd24a,0.452086627,1.368017445
Popdc3,2.386481762,5.22880679
Hace1,-0.131995916,0.912568072
Grik2,-0.258168131,0.83614895
NA,-0.496926457,0.70861482
Ascc3,-0.142215252,0.906126733
Sim1,1.983381987,3.95418943
Gopc,-0.191497505,0.875696284
Nus1,-0.33872211,0.790741414
Fam184a,0.150311053,1.109808727
Gcc2,-0.124835357,0.917108699
Ranbp2,-0.158811599,0.89576264
Mcu,-0.151881918,0.900075596
4632428N05Rik,0.329415351,1.256504076
Tbata,0.359050095,1.282581137
Eif4ebp2,-0.489072472,0.712483016
Aifm2,0.240214422,1.181168201
H2afy2,0.202912107,1.151019366
Tet1,-0.178827286,0.883420805
Rufy2,0.126065001,1.091313045
Sirt1,-0.153212458,0.899245875
Ctnna3,-0.406253338,0.754580468
Gm10118,-0.245497078,0.843525111
Lrrtm3,-0.146086961,0.903698253
Jmjd1c,-0.15050979,0.900932054
Ado,-0.12178199,0.919051754
Rtkn2,0.351230264,1.275647977
Arid5b,-0.321355909,0.80031735
Tmem26,1.582825065,2.995558618
Cdk1,0.582405388,1.497343672
Ank3,-0.428076535,0.743252061
Ccdc6,-0.222622693,0.857006058
Fam13c,-0.440689862,0.736782213
Phyhipl,-0.336810261,0.791789993
Tfam,0.112793513,1.081319987
Ube2d1,0.243386373,1.183768008
Zwint,0.227119431,1.170495535
Gm15397,1.512952924,2.853935884
Gnaz,0.183123305,1.135339134
Bcr,-0.426467419,0.744081514
Susd2,0.702110231,1.626882696
Ddt,0.236786619,1.178365109
Gm20441,0.204975903,1.152667094
Gstt2,0.521768034,1.435713648
Chchd10,0.224827126,1.168637205
Zfp280b,-0.169993311,0.888846802
Dip2a,-0.216716006,0.860522007
Pcnt,-0.248758942,0.841620096
Col6a1,0.374907911,1.296756778
Col18a1,-1.337305903,0.395759009
Pofut2,0.183544219,1.135670423
Pttg1ip,0.162457749,1.11919215
Sumo3,0.172960922,1.127369875
D10Jhu81e,0.184958443,1.136784228
Rrp1,0.208558649,1.15553315
Pdxk,-0.220229581,0.858428821
Slc1a6,-0.609637976,0.655361135
Shc2,0.226668373,1.170129637
Bsg,0.171898201,1.126539735
Hcn2,-0.271263987,0.828593273
E130317F20Rik,0.288319796,1.221217185
Ptbp1,0.216919065,1.162248903
Wdr18,0.128704116,1.093311206
Cnn2,0.466946155,1.382180619
Polr2e,0.279358804,1.213655364
Midn,-0.336863011,0.791761043
Cirbp,0.350451052,1.274959175
Mum1,0.206150502,1.153605943
Ndufs7,0.162221014,1.119008515
Rps15,0.157533497,1.1153786
Apc2,-0.409614772,0.752824366
Mbd3,-0.346342802,0.786575523
Klf16,-0.365728498,0.776076891
Izumo4,0.278710485,1.213110093
Dot1l,-0.344791651,0.787421685
Lingo3,-0.455791146,0.729110233
Gadd45b,0.402182758,1.321505801
Diras1,0.195326939,1.144983604
Mfsd12,-0.266843051,0.831136275
Nfic,-0.389945298,0.76315854
Slc41a2,0.207117498,1.15437943
AI597468,-0.205122501,0.867465027
Cry1,-0.300951958,0.811716611
Btbd11,-0.285435468,0.820493911
Timp3,0.155826062,1.114059327
Hsp90b1,-0.235156059,0.849593092
Gm15344,-0.449004829,0.732547985
Nt5dc3,-0.355261028,0.781728192
Igf1,0.320223689,1.248524117
Chpt1,-0.271916658,0.828218505
Mybpc1,-2.18515873,0.219888075
Ano4,0.243274391,1.183676127
Uhrf1bp1l,-0.175626725,0.885382814
Anks1b,-0.593337953,0.662807598
Cdk17,-0.138760954,0.908298905
Fgd6,-0.23065795,0.852246131
Tmcc3,-0.216753051,0.860499912
Plxnc1,-0.22906588,0.853187137
Atp2b1,-0.120182171,0.920071464
Kitl,-0.66286844,0.631621226
Cep290,-0.180715382,0.882265403
Slc6a15,-0.15387927,0.898830341
Tmtc2,-0.255121529,0.837916548
Ccdc59,0.203211993,1.151258648
Syt1,-0.265491754,0.831915122
Nap1l1,-0.265808433,0.831732532
Tbc1d15,-0.627980709,0.64708148
Rab21,-0.218211263,0.859630596
Zfc3h1,-0.145023257,0.904364799
Lgr5,-0.512265682,0.701120497
Ptprr,-0.508962393,0.702727668
Kcnmb4,-0.488194078,0.712916947
Cct2,0.124924928,1.090450989
Frs2,-0.2627213,0.83351421
Yeats4,0.212177768,1.158435539
Lyz2,0.393479198,1.313557357
Cpsf6,-0.265441746,0.831943959
Mdm2,0.164404333,1.120703261
Slc35e3,-0.296023756,0.814494151
Rap1b,-0.219699308,0.8587444
Cand1,-0.157302901,0.896699873
Lemd3,-0.23163332,0.851670143
BC048403,-0.445211112,0.734476831
Srgap1,-0.819292605,0.566719754
Ppm1h,-0.350118995,0.784519387
Usp15,-0.205043584,0.867512479
Fam19a2,0.619696081,1.536551456
Ctdsp2,-0.188251823,0.877668587
Mettl1,0.264753789,1.201430995
Cdk4,0.238378108,1.179665723
Os9,0.29900673,1.230297084
Pip4k2c,-0.193598881,0.874421706
Kif5a,-0.346619636,0.786424604
R3hdm2,-0.445400387,0.734380478
Shmt2,0.206469327,1.15386091
Lrp1,-0.667365015,0.629655661
Nab2,-0.259506613,0.83537356
Zbtb39,-0.292073071,0.816727624
Prim1,0.189206347,1.140136333
Rbms2,-0.261009037,0.834504054
Timeless,0.315961003,1.244840586
Cnpy2,0.182577834,1.134909952
Coq10a,0.15642722,1.114523641
Ankrd52,-0.428072959,0.743253904
Nabp2,0.292199641,1.224505829
Rnf41,0.101399124,1.072813371
Pa2g4,0.200656712,1.149221359
Erbb3,-0.257547796,0.836508557
Rps26,0.316024691,1.244895541
